企業・団体名,合計,文科系 男子,文科系 女子,理工系,
ＳＭＢＣコンシューマーファイナンス株式会社,3,1,2,,
株式会社プレサンスコーポレーション,3,2,1,,
松田産業株式会社,3,3,,,
株式会社万代,3,3,,,
株式会社ミツカングループ本社,3,1,2,,
三井物産株式会社,3,2,,1,
三菱マテリアル株式会社,3,2,1,,
三井金属鉱業株式会社,3,2,1,,
三菱ＵＦＪインフォメーションテクノロジー株式会社,3,1,1,1,
株式会社ミスミグループ本社,3,3,,,
株式会社明治,3,,2,1,
森永乳業株式会社,3,2,,1,
守口市,3,2,1,,
ヤマト運輸株式会社,3,2,1,,
株式会社安川電機,3,1,,2,
ユアサ商事株式会社,3,3,,,
ＵＣＣ上島珈琲株式会社,3,,2,1,
株式会社淀川製鋼所,3,3,,,
株式会社横河ブリッジホールディングス,3,3,,,
株式会社ヨドバシカメラ,3,3,,,
三菱食品株式会社,3,2,1,,
株式会社リクルートスタッフィング,3,2,1,,
株式会社リクルート住まいカンパニー,3,2,1,,
ＹＫＫ株式会社,3,,2,1,
ＹＫＫ　ＡＰ株式会社,3,,2,1,
